0.485312,-0.276434,-4.68024,0.868318
0.474664,-0.274549,-4.7385,0.838731
0.463812,-0.272299,-4.82921,1.0013
0.452933,-0.270396,-4.84097,0.846555
0.442074,-0.268139,-4.83246,1.00456
0.431072,-0.266205,-4.89601,0.860732
0.419913,-0.264049,-4.96556,0.959216
0.40882,-0.261816,-4.93637,0.994003
0.39758,-0.259625,-5.00179,0.974799
0.386299,-0.257416,-5.01992,0.983008
0.374875,-0.255096,-5.08368,1.03232
0.363466,-0.25288,-5.07709,0.986311
0.351955,-0.25062,-5.12257,1.00538
0.340266,-0.248043,-5.2017,1.14687
0.328715,-0.245644,-5.14002,1.06778
0.317109,-0.243142,-5.16461,1.11337
0.305276,-0.240877,-5.26561,1.00767
0.293541,-0.238328,-5.22211,1.13444
0.281687,-0.236049,-5.27509,1.01404
0.269884,-0.233395,-5.25231,1.18119
0.258023,-0.231123,-5.27837,1.01104
0.246092,-0.228459,-5.30909,1.18541
0.234197,-0.226041,-5.29346,1.07586
0.222061,-0.223289,-5.40053,1.22503
0.210333,-0.22084,-5.21882,1.08974
0.198347,-0.218279,-5.33366,1.13956
0.185679,-0.215452,-5.63725,1.25813
0.173488,-0.21273,-5.42491,1.21118
0.161452,-0.209804,-5.35642,1.30185
0.149462,-0.207317,-5.33535,1.10696
0.137287,-0.20447,-5.41788,1.2666
0.125176,-0.201874,-5.38955,1.15551
0.112792,-0.199124,-5.51073,1.2235
0.100705,-0.196393,-5.37889,1.21549
0.0886032,-0.193778,-5.38516,1.1636
0.0762294,-0.190811,-5.50633,1.32056
0.0640178,-0.18833,-5.43414,1.10385
0.0517015,-0.185412,-5.48078,1.29868
0.0393511,-0.182603,-5.49592,1.24972
0.0273188,-0.179896,-5.35438,1.2047
0.0149627,-0.176969,-5.49844,1.30251
0.00261827,-0.174106,-5.49328,1.27404
-0.00951898,-0.171269,-5.40107,1.26252
-0.0220203,-0.168401,-5.56308,1.27633
-0.0342444,-0.165655,-5.43972,1.22172
-0.0463037,-0.162664,-5.36638,1.33126
-0.0584569,-0.159984,-5.40817,1.1926
-0.0705523,-0.157074,-5.38246,1.29483
-0.0826723,-0.154375,-5.3934,1.20095
-0.0944623,-0.151584,-5.24654,1.24198
-0.106456,-0.148887,-5.33704,1.20033
-0.118186,-0.145956,-5.2201,1.30447
-0.130228,-0.143296,-5.35855,1.18352
-0.141823,-0.140351,-5.15978,1.31054
-0.153805,-0.137229,-5.33221,1.38935
-0.165379,-0.134623,-5.1501,1.15949
-0.17717,-0.131293,-5.24732,1.48201
-0.188638,-0.128335,-5.10289,1.31629
-0.20003,-0.125696,-5.06966,1.17436
-0.211412,-0.122552,-5.06485,1.39887
-0.222755,-0.119814,-5.04797,1.21869
-0.234014,-0.116897,-5.00995,1.2977
-0.245312,-0.113763,-5.02758,1.39496
-0.256196,-0.111583,-4.84367,0.969952
-0.267407,-0.108265,-4.98862,1.4766
-0.278218,-0.105587,-4.81099,1.19187
-0.28931,-0.102704,-4.93619,1.28268
-0.300215,-0.0996622,-4.85235,1.35366
-0.310944,-0.0972585,-4.77465,1.06965
-0.321834,-0.0941031,-4.84585,1.40412
-0.332324,-0.0908074,-4.66794,1.46661
